Category name,total questions,correct questions,Performance,Job Profile Name,User name,correctness
Security Tools,6,7,can't predict,Artificial Intelligence (AI) Engineer,lara,116.67
SQL and Query Optimization,8,1,Extremely Poor,Cybersecurity Analyst,lara,12.5
Natural Language Processing ,2,4,can't predict,Artificial Intelligence (AI) Engineer,jefforson,200.0
Database Management,8,9,can't predict,Database Administrator,jefforson,112.5
Domain Knowledge,6,8,can't predict,Database Administrator,john,133.33
Data Visualization,1,4,can't predict,Data Analyst,jefforson,400.0
Web Development Tools,7,8,can't predict,Artificial Intelligence (AI) Engineer,andrew,114.29
Risk Assessment and Management,1,1,Excellent,Full Stack Developer,lara,100.0
Domain Knowledge,10,5,Average,Full Stack Developer,robin,50.0
Troubleshooting and Problem-Solving,3,5,can't predict,Full Stack Developer,robin,166.67
Front-end Technologies,4,9,can't predict,Database Administrator,john,225.0
Statistical Knowledge,7,4,Average,Full Stack Developer,john,57.14
Risk Assessment and Management,7,3,Below Average,Full Stack Developer,andrew,42.86
Data Modeling and Design,4,4,Excellent,Cybersecurity Analyst,lara,100.0
Domain Knowledge,2,0,Needs Improvement,Database Administrator,jefforson,0.0
Understanding of Security Tools,3,4,can't predict,Database Administrator,andrew,133.33
Machine Learning,10,2,Very Poor,Database Administrator,jefforson,20.0
Database Knowledge,8,1,Extremely Poor,Data Analyst,jefforson,12.5
Performance Tuning,2,9,can't predict,Cybersecurity Analyst,andrew,450.0
"APIs (RESTful, GraphQL)",5,0,Needs Improvement,Cybersecurity Analyst,robin,0.0
Attention to Detail,2,0,Needs Improvement,Data Analyst,jefforson,0.0
Programming Skills,1,9,can't predict,Cybersecurity Analyst,jefforson,900.0
Statistical Knowledge,5,1,Very Poor,Data Analyst,robin,20.0
Front-end Technologies,3,0,Needs Improvement,Cybersecurity Analyst,jefforson,0.0
Data Handling,3,6,can't predict,Full Stack Developer,lara,200.0
Analytical Skills,9,8,Very Good,Cybersecurity Analyst,jefforson,88.89
Scripting and Automation,7,9,can't predict,Data Analyst,robin,128.57
Risk Assessment and Management,9,7,Good,Data Analyst,jefforson,77.78
Web Development Tools,5,4,Very Good,Full Stack Developer,john,80.0
"APIs (RESTful, GraphQL)",9,3,Poor,Cybersecurity Analyst,jefforson,33.33
Backup and Recovery,9,6,Above Average,Database Administrator,andrew,66.67
Web Development Tools,8,5,Above Average,Database Administrator,jefforson,62.5
Data Handling,6,3,Average,Data Analyst,andrew,50.0
Troubleshooting and Problem-Solving,6,5,Very Good,Cybersecurity Analyst,jefforson,83.33
Domain Knowledge,1,9,can't predict,Full Stack Developer,jefforson,900.0
Programming skills,10,8,Very Good,Artificial Intelligence (AI) Engineer,andrew,80.0
Cyber Threat Intelligence,1,3,can't predict,Cybersecurity Analyst,robin,300.0
Security Policies and Compliance,7,7,Excellent,Data Analyst,jefforson,100.0
Security Tools,6,4,Above Average,Full Stack Developer,robin,66.67
Attention to Detail,5,1,Very Poor,Full Stack Developer,lara,20.0
Problem-Solving Abilities,7,9,can't predict,Data Analyst,jefforson,128.57
Domain Knowledge,10,0,Needs Improvement,Database Administrator,andrew,0.0
Troubleshooting and Problem-Solving,2,1,Average,Artificial Intelligence (AI) Engineer,andrew,50.0
Programming Skills,8,2,Very Poor,Full Stack Developer,robin,25.0
Statistical Knowledge,6,10,can't predict,Database Administrator,andrew,166.67
Statistical Knowledge,3,7,can't predict,Full Stack Developer,andrew,233.33
Programming Skills,7,4,Average,Full Stack Developer,lara,57.14
Critical Thinking,2,2,Excellent,Full Stack Developer,jefforson,100.0
Cyber Threat Intelligence,2,1,Average,Data Analyst,lara,50.0
Database Management,9,9,Excellent,Data Analyst,jefforson,100.0
Critical Thinking,6,4,Above Average,Data Analyst,robin,66.67
Version Control/Git,9,3,Poor,Artificial Intelligence (AI) Engineer,robin,33.33
Attention to Detail,10,2,Very Poor,Full Stack Developer,jefforson,20.0
Performance Tuning,1,3,can't predict,Cybersecurity Analyst,lara,300.0
Web Development Tools,5,10,can't predict,Full Stack Developer,john,200.0
"APIs (RESTful, GraphQL)",2,0,Needs Improvement,Cybersecurity Analyst,jefforson,0.0
Front-end Technologies,9,9,Excellent,Full Stack Developer,jefforson,100.0
Database Management Systems,4,7,can't predict,Data Analyst,john,175.0
Algorithm Development,10,3,Poor,Full Stack Developer,lara,30.0
Cyber Threat Intelligence,5,10,can't predict,Database Administrator,lara,200.0
Backup and Recovery,6,0,Needs Improvement,Artificial Intelligence (AI) Engineer,lara,0.0
Understanding of Security Tools,4,9,can't predict,Data Analyst,jefforson,225.0
Risk Assessment and Management,8,6,Good,Full Stack Developer,john,75.0
Front-end Technologies,10,7,Good,Data Analyst,jefforson,70.0
Web Development Tools,1,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Data Modeling and Design,7,10,can't predict,Data Analyst,jefforson,142.86
"APIs (RESTful, GraphQL)",8,2,Very Poor,Database Administrator,jefforson,25.0
Cyber Threat Intelligence,3,6,can't predict,Artificial Intelligence (AI) Engineer,john,200.0
Understanding of Security Tools,5,0,Needs Improvement,Cybersecurity Analyst,lara,0.0
Statistical Knowledge,8,1,Extremely Poor,Data Analyst,robin,12.5
Attention to Detail,8,3,Poor,Database Administrator,jefforson,37.5
Data Handling,4,3,Good,Cybersecurity Analyst,jefforson,75.0
Scripting and Automation,5,10,can't predict,Data Analyst,lara,200.0
Troubleshooting and Problem-Solving,5,6,can't predict,Full Stack Developer,jefforson,120.0
Version Control/Git,1,2,can't predict,Full Stack Developer,lara,200.0
Database Security,6,5,Very Good,Cybersecurity Analyst,robin,83.33
Problem-Solving Abilities,1,4,can't predict,Full Stack Developer,jefforson,400.0
Database Knowledge,3,10,can't predict,Data Analyst,john,333.33
Database Management Systems,10,7,Good,Full Stack Developer,robin,70.0
Version Control/Git,1,3,can't predict,Full Stack Developer,lara,300.0
Version Control/Git,7,7,Excellent,Database Administrator,andrew,100.0
Critical Thinking,9,4,Below Average,Full Stack Developer,john,44.44
Programming Skills,4,1,Very Poor,Artificial Intelligence (AI) Engineer,jefforson,25.0
Web Development Tools,4,9,can't predict,Database Administrator,robin,225.0
Domain Knowledge,5,6,can't predict,Data Analyst,lara,120.0
Attention to Detail,3,4,can't predict,Data Analyst,andrew,133.33
Version Control/Git,8,4,Average,Data Analyst,jefforson,50.0
"APIs (RESTful, GraphQL)",3,9,can't predict,Full Stack Developer,andrew,300.0
Front-end Technologies,4,5,can't predict,Full Stack Developer,jefforson,125.0
Database Management Systems,3,10,can't predict,Full Stack Developer,john,333.33
Programming Skills,8,8,Excellent,Cybersecurity Analyst,andrew,100.0
Database Management,8,6,Good,Artificial Intelligence (AI) Engineer,robin,75.0
Machine Learning,9,10,can't predict,Full Stack Developer,john,111.11
Statistical Knowledge,6,8,can't predict,Data Analyst,john,133.33
Networking Skills,5,3,Above Average,Data Analyst,john,60.0
Domain Knowledge,10,4,Below Average,Artificial Intelligence (AI) Engineer,jefforson,40.0
Troubleshooting and Problem-Solving,3,8,can't predict,Data Analyst,lara,266.67
Problem-Solving Abilities,8,9,can't predict,Database Administrator,jefforson,112.5
Back-end Technologies,5,5,Excellent,Database Administrator,andrew,100.0
Troubleshooting and Problem-Solving,4,1,Very Poor,Full Stack Developer,lara,25.0
Machine Learning,4,0,Needs Improvement,Full Stack Developer,andrew,0.0
Mathematics and Statistics.,1,10,can't predict,Database Administrator,jefforson,1000.0
Natural Language Processing ,10,5,Average,Database Administrator,lara,50.0
SQL and Query Optimization,6,9,can't predict,Database Administrator,andrew,150.0
Knowledge of Security Tools,7,3,Below Average,Database Administrator,andrew,42.86
Back-end Technologies,3,3,Excellent,Data Analyst,robin,100.0
Front-end Technologies,2,8,can't predict,Data Analyst,jefforson,400.0
Data Visualization,7,5,Good,Full Stack Developer,andrew,71.43
Domain Knowledge,9,5,Average,Artificial Intelligence (AI) Engineer,jefforson,55.56
Knowledge of Security Tools,6,9,can't predict,Data Analyst,robin,150.0
Data Modeling and Design,1,8,can't predict,Cybersecurity Analyst,andrew,800.0
Analytical Skills,6,7,can't predict,Full Stack Developer,lara,116.67
Programming Skills,9,6,Above Average,Database Administrator,andrew,66.67
Risk Assessment and Management,9,5,Average,Artificial Intelligence (AI) Engineer,robin,55.56
Analytical Skills,1,5,can't predict,Data Analyst,john,500.0
Database Knowledge,6,2,Poor,Full Stack Developer,andrew,33.33
Domain Knowledge,1,6,can't predict,Artificial Intelligence (AI) Engineer,lara,600.0
SQL and Query Optimization,6,8,can't predict,Full Stack Developer,robin,133.33
SQL and Query Optimization,3,8,can't predict,Data Analyst,jefforson,266.67
Programming Skills,1,1,Excellent,Data Analyst,jefforson,100.0
Web Development Tools,5,9,can't predict,Full Stack Developer,andrew,180.0
Database Security,8,7,Very Good,Full Stack Developer,john,87.5
Front-end Technologies,4,0,Needs Improvement,Data Analyst,lara,0.0
Performance Tuning,5,10,can't predict,Cybersecurity Analyst,robin,200.0
Back-end Technologies,9,7,Good,Full Stack Developer,robin,77.78
Database Security,9,10,can't predict,Full Stack Developer,robin,111.11
Data Handling,6,1,Extremely Poor,Artificial Intelligence (AI) Engineer,lara,16.67
Data Modeling and Design,10,0,Needs Improvement,Database Administrator,andrew,0.0
"APIs (RESTful, GraphQL)",5,1,Very Poor,Cybersecurity Analyst,robin,20.0
Machine Learning,10,1,Extremely Poor,Database Administrator,jefforson,10.0
Knowledge of Security Tools,4,0,Needs Improvement,Data Analyst,jefforson,0.0
Database Management Systems,3,7,can't predict,Full Stack Developer,jefforson,233.33
Security Tools,3,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Analytical Skills,6,2,Poor,Cybersecurity Analyst,andrew,33.33
Security Policies and Compliance,10,6,Above Average,Cybersecurity Analyst,andrew,60.0
Analytical Skills,8,8,Excellent,Full Stack Developer,jefforson,100.0
Data Modeling and Design,9,1,Extremely Poor,Full Stack Developer,andrew,11.11
Knowledge of Security Tools,2,5,can't predict,Data Analyst,andrew,250.0
Understanding of Security Tools,1,6,can't predict,Data Analyst,jefforson,600.0
Critical Thinking,4,3,Good,Data Analyst,jefforson,75.0
Domain Knowledge,4,6,can't predict,Full Stack Developer,john,150.0
Backup and Recovery,2,6,can't predict,Data Analyst,john,300.0
Programming Skills,8,8,Excellent,Database Administrator,john,100.0
Troubleshooting and Problem-Solving,7,1,Extremely Poor,Data Analyst,john,14.29
Performance Tuning,4,4,Excellent,Data Analyst,jefforson,100.0
Data Handling,5,9,can't predict,Data Analyst,jefforson,180.0
Data Visualization,9,1,Extremely Poor,Database Administrator,john,11.11
"APIs (RESTful, GraphQL)",9,8,Very Good,Database Administrator,jefforson,88.89
Data Visualization,10,4,Below Average,Database Administrator,jefforson,40.0
"APIs (RESTful, GraphQL)",5,9,can't predict,Full Stack Developer,andrew,180.0
Attention to Detail,10,0,Needs Improvement,Cybersecurity Analyst,lara,0.0
Programming Skills,4,6,can't predict,Data Analyst,jefforson,150.0
SQL and Query Optimization,9,8,Very Good,Cybersecurity Analyst,jefforson,88.89
Statistical Knowledge,1,1,Excellent,Database Administrator,andrew,100.0
Algorithm Development,4,8,can't predict,Full Stack Developer,john,200.0
Database Knowledge,4,3,Good,Full Stack Developer,lara,75.0
Problem-Solving Abilities,2,5,can't predict,Cybersecurity Analyst,lara,250.0
Back-end Technologies,5,2,Below Average,Database Administrator,jefforson,40.0
Web Development Tools,2,4,can't predict,Cybersecurity Analyst,jefforson,200.0
Database Knowledge,3,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Critical Thinking,2,3,can't predict,Cybersecurity Analyst,robin,150.0
Deep Learning,6,1,Extremely Poor,Data Analyst,andrew,16.67
"APIs (RESTful, GraphQL)",1,1,Excellent,Data Analyst,andrew,100.0
SQL and Query Optimization,1,9,can't predict,Artificial Intelligence (AI) Engineer,robin,900.0
Machine Learning,2,8,can't predict,Data Analyst,robin,400.0
Data Modeling and Design,8,4,Average,Data Analyst,robin,50.0
Version Control/Git,4,3,Good,Cybersecurity Analyst,robin,75.0
Risk Assessment and Management,8,6,Good,Full Stack Developer,andrew,75.0
Domain Knowledge,10,4,Below Average,Database Administrator,jefforson,40.0
Machine Learning,7,8,can't predict,Data Analyst,jefforson,114.29
Statistical Knowledge,8,7,Very Good,Cybersecurity Analyst,jefforson,87.5
Analytical Skills,9,2,Very Poor,Full Stack Developer,robin,22.22
Machine Learning,10,10,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Attention to Detail,6,1,Extremely Poor,Artificial Intelligence (AI) Engineer,jefforson,16.67
Natural Language Processing ,9,6,Above Average,Data Analyst,andrew,66.67
Web Development Tools,3,6,can't predict,Data Analyst,jefforson,200.0
Networking Skills,9,9,Excellent,Artificial Intelligence (AI) Engineer,john,100.0
"APIs (RESTful, GraphQL)",4,3,Good,Data Analyst,jefforson,75.0
Programming Skills,8,7,Very Good,Database Administrator,jefforson,87.5
Risk Assessment and Management,10,1,Extremely Poor,Cybersecurity Analyst,jefforson,10.0
Domain Knowledge,3,10,can't predict,Database Administrator,lara,333.33
Attention to Detail,1,2,can't predict,Cybersecurity Analyst,andrew,200.0
Back-end Technologies,7,10,can't predict,Data Analyst,robin,142.86
Attention to Detail,8,2,Very Poor,Data Analyst,john,25.0
Data Visualization,7,10,can't predict,Data Analyst,lara,142.86
Database Knowledge,9,7,Good,Cybersecurity Analyst,john,77.78
Programming Skills,8,1,Extremely Poor,Cybersecurity Analyst,lara,12.5
Knowledge of Security Tools,2,2,Excellent,Full Stack Developer,robin,100.0
"APIs (RESTful, GraphQL)",2,6,can't predict,Database Administrator,jefforson,300.0
Database Knowledge,10,9,Excellent,Artificial Intelligence (AI) Engineer,jefforson,90.0
Troubleshooting and Problem-Solving,6,0,Needs Improvement,Data Analyst,jefforson,0.0
Data Modeling and Design,1,1,Excellent,Full Stack Developer,andrew,100.0
Database Knowledge,2,3,can't predict,Data Analyst,john,150.0
Domain Knowledge,4,9,can't predict,Data Analyst,john,225.0
Database Knowledge,8,0,Needs Improvement,Data Analyst,andrew,0.0
Scripting and Automation,7,1,Extremely Poor,Artificial Intelligence (AI) Engineer,jefforson,14.29
Security Policies and Compliance,10,8,Very Good,Database Administrator,john,80.0
Risk Assessment and Management,7,6,Very Good,Artificial Intelligence (AI) Engineer,john,85.71
Mathematics and Statistics.,9,7,Good,Cybersecurity Analyst,lara,77.78
Security Tools,3,3,Excellent,Database Administrator,jefforson,100.0
Programming skills,10,8,Very Good,Artificial Intelligence (AI) Engineer,jefforson,80.0
Natural Language Processing ,2,5,can't predict,Cybersecurity Analyst,john,250.0
Attention to Detail,6,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Database Knowledge,7,4,Average,Cybersecurity Analyst,john,57.14
Data Modeling and Design,1,6,can't predict,Cybersecurity Analyst,lara,600.0
Data Handling,9,0,Needs Improvement,Data Analyst,robin,0.0
Deep Learning,1,10,can't predict,Full Stack Developer,jefforson,1000.0
Database Knowledge,8,7,Very Good,Cybersecurity Analyst,andrew,87.5
Version Control/Git,9,4,Below Average,Data Analyst,lara,44.44
Database Management,4,1,Very Poor,Data Analyst,robin,25.0
Domain Knowledge,3,5,can't predict,Full Stack Developer,andrew,166.67
Attention to Detail,6,2,Poor,Data Analyst,andrew,33.33
Back-end Technologies,9,5,Average,Database Administrator,jefforson,55.56
Backup and Recovery,2,5,can't predict,Database Administrator,lara,250.0
Database Security,4,10,can't predict,Database Administrator,robin,250.0
Data Modeling and Design,5,8,can't predict,Data Analyst,lara,160.0
Database Knowledge,9,7,Good,Full Stack Developer,robin,77.78
Attention to Detail,5,4,Very Good,Data Analyst,jefforson,80.0
Database Management Systems,10,7,Good,Database Administrator,andrew,70.0
Troubleshooting and Problem-Solving,1,7,can't predict,Full Stack Developer,andrew,700.0
Data Modeling and Design,10,10,Excellent,Data Analyst,jefforson,100.0
Data Visualization,5,7,can't predict,Full Stack Developer,jefforson,140.0
Natural Language Processing ,10,2,Very Poor,Full Stack Developer,robin,20.0
Backup and Recovery,1,6,can't predict,Data Analyst,jefforson,600.0
Database Knowledge,1,9,can't predict,Artificial Intelligence (AI) Engineer,andrew,900.0
Data Visualization,1,1,Excellent,Data Analyst,john,100.0
Natural Language Processing ,10,5,Average,Database Administrator,john,50.0
Analytical Skills,10,7,Good,Cybersecurity Analyst,andrew,70.0
Back-end Technologies,6,6,Excellent,Cybersecurity Analyst,jefforson,100.0
Critical Thinking,9,8,Very Good,Data Analyst,jefforson,88.89
Version Control/Git,4,4,Excellent,Artificial Intelligence (AI) Engineer,robin,100.0
Web Development Tools,6,7,can't predict,Data Analyst,lara,116.67
Version Control/Git,1,4,can't predict,Artificial Intelligence (AI) Engineer,jefforson,400.0
Data Modeling and Design,8,2,Very Poor,Full Stack Developer,andrew,25.0
Version Control/Git,10,3,Poor,Database Administrator,jefforson,30.0
Natural Language Processing ,4,9,can't predict,Data Analyst,robin,225.0
Critical Thinking,9,6,Above Average,Data Analyst,robin,66.67
Data Modeling and Design,10,5,Average,Full Stack Developer,robin,50.0
Back-end Technologies,1,5,can't predict,Cybersecurity Analyst,lara,500.0
Critical Thinking,10,1,Extremely Poor,Cybersecurity Analyst,jefforson,10.0
Understanding of Security Tools,2,2,Excellent,Database Administrator,jefforson,100.0
Critical Thinking,5,6,can't predict,Data Analyst,john,120.0
Database Management,6,8,can't predict,Data Analyst,robin,133.33
Back-end Technologies,4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Networking Skills,7,1,Extremely Poor,Full Stack Developer,andrew,14.29
Scripting and Automation,4,4,Excellent,Full Stack Developer,jefforson,100.0
Domain Knowledge,10,7,Good,Data Analyst,john,70.0
Database Security,3,8,can't predict,Database Administrator,jefforson,266.67
Domain Knowledge,9,6,Above Average,Full Stack Developer,andrew,66.67
Attention to Detail,10,2,Very Poor,Data Analyst,lara,20.0
Deep Learning,5,6,can't predict,Cybersecurity Analyst,robin,120.0
Deep Learning,8,0,Needs Improvement,Artificial Intelligence (AI) Engineer,john,0.0
Understanding of Security Tools,1,9,can't predict,Full Stack Developer,lara,900.0
Database Security,8,10,can't predict,Database Administrator,robin,125.0
Scripting and Automation,8,0,Needs Improvement,Data Analyst,robin,0.0
Domain Knowledge,3,7,can't predict,Full Stack Developer,andrew,233.33
Natural Language Processing ,9,9,Excellent,Cybersecurity Analyst,jefforson,100.0
Back-end Technologies,2,6,can't predict,Cybersecurity Analyst,lara,300.0
Problem-Solving Abilities,3,4,can't predict,Cybersecurity Analyst,jefforson,133.33
Attention to Detail,1,8,can't predict,Full Stack Developer,andrew,800.0
Critical Thinking,6,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,166.67
Front-end Technologies,3,10,can't predict,Full Stack Developer,jefforson,333.33
Database Management Systems,6,6,Excellent,Data Analyst,jefforson,100.0
Natural Language Processing ,10,10,Excellent,Artificial Intelligence (AI) Engineer,robin,100.0
Statistical Knowledge,9,5,Average,Cybersecurity Analyst,andrew,55.56
Risk Assessment and Management,6,1,Extremely Poor,Full Stack Developer,lara,16.67
Programming Skills,5,4,Very Good,Cybersecurity Analyst,robin,80.0
Database Security,8,0,Needs Improvement,Data Analyst,john,0.0
Backup and Recovery,5,4,Very Good,Data Analyst,jefforson,80.0
Scripting and Automation,10,7,Good,Database Administrator,lara,70.0
Front-end Technologies,9,8,Very Good,Data Analyst,andrew,88.89
Knowledge of Security Tools,10,10,Excellent,Full Stack Developer,john,100.0
Analytical Skills,7,1,Extremely Poor,Database Administrator,lara,14.29
Critical Thinking,1,8,can't predict,Full Stack Developer,robin,800.0
Database Knowledge,10,3,Poor,Artificial Intelligence (AI) Engineer,lara,30.0
Attention to Detail,6,1,Extremely Poor,Data Analyst,andrew,16.67
Problem-Solving Abilities,1,5,can't predict,Data Analyst,john,500.0
Attention to Detail,7,5,Good,Data Analyst,jefforson,71.43
Back-end Technologies,5,8,can't predict,Cybersecurity Analyst,jefforson,160.0
Statistical Knowledge,8,2,Very Poor,Data Analyst,andrew,25.0
Data Modeling and Design,1,5,can't predict,Database Administrator,lara,500.0
Statistical Knowledge,3,2,Above Average,Cybersecurity Analyst,lara,66.67
Web Development Tools,7,9,can't predict,Data Analyst,john,128.57
Critical Thinking,6,5,Very Good,Artificial Intelligence (AI) Engineer,lara,83.33
Programming Skills,6,1,Extremely Poor,Data Analyst,robin,16.67
Data Visualization,7,5,Good,Data Analyst,jefforson,71.43
Domain Knowledge,9,6,Above Average,Artificial Intelligence (AI) Engineer,andrew,66.67
Database Management,8,4,Average,Cybersecurity Analyst,john,50.0
Machine Learning,6,9,can't predict,Data Analyst,robin,150.0
Attention to Detail,7,1,Extremely Poor,Database Administrator,john,14.29
Data Handling,7,6,Very Good,Database Administrator,robin,85.71
Analytical Skills,3,1,Poor,Full Stack Developer,robin,33.33
Statistical Knowledge,10,2,Very Poor,Database Administrator,john,20.0
"APIs (RESTful, GraphQL)",7,9,can't predict,Artificial Intelligence (AI) Engineer,jefforson,128.57
Version Control/Git,2,1,Average,Cybersecurity Analyst,andrew,50.0
Understanding of Security Tools,1,3,can't predict,Artificial Intelligence (AI) Engineer,andrew,300.0
Programming Skills,10,10,Excellent,Data Analyst,john,100.0
Database Management,5,10,can't predict,Full Stack Developer,jefforson,200.0
Database Management,7,10,can't predict,Artificial Intelligence (AI) Engineer,lara,142.86
Cyber Threat Intelligence,9,6,Above Average,Artificial Intelligence (AI) Engineer,robin,66.67
Risk Assessment and Management,4,1,Very Poor,Data Analyst,robin,25.0
Version Control/Git,6,8,can't predict,Cybersecurity Analyst,andrew,133.33
Domain Knowledge,8,5,Above Average,Cybersecurity Analyst,robin,62.5
Critical Thinking,10,5,Average,Database Administrator,robin,50.0
Database Management,2,1,Average,Cybersecurity Analyst,jefforson,50.0
Security Tools,1,1,Excellent,Database Administrator,robin,100.0
Attention to Detail,3,8,can't predict,Cybersecurity Analyst,robin,266.67
Data Modeling and Design,3,3,Excellent,Cybersecurity Analyst,andrew,100.0
Knowledge of Security Tools,3,2,Above Average,Data Analyst,lara,66.67
"APIs (RESTful, GraphQL)",6,2,Poor,Full Stack Developer,lara,33.33
Programming skills,6,3,Average,Data Analyst,andrew,50.0
Security Tools,4,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Natural Language Processing ,10,2,Very Poor,Data Analyst,lara,20.0
Front-end Technologies,6,0,Needs Improvement,Full Stack Developer,lara,0.0
Data Handling,2,1,Average,Full Stack Developer,jefforson,50.0
Critical Thinking,1,9,can't predict,Database Administrator,jefforson,900.0
Performance Tuning,3,7,can't predict,Data Analyst,jefforson,233.33
Troubleshooting and Problem-Solving,8,0,Needs Improvement,Data Analyst,jefforson,0.0
Analytical Skills,4,2,Average,Artificial Intelligence (AI) Engineer,robin,50.0
Front-end Technologies,6,1,Extremely Poor,Database Administrator,john,16.67
Scripting and Automation,1,8,can't predict,Artificial Intelligence (AI) Engineer,robin,800.0
Critical Thinking,3,1,Poor,Cybersecurity Analyst,john,33.33
Domain Knowledge,3,1,Poor,Cybersecurity Analyst,jefforson,33.33
Scripting and Automation,2,6,can't predict,Database Administrator,robin,300.0
Database Management,2,6,can't predict,Data Analyst,jefforson,300.0
Front-end Technologies,7,5,Good,Data Analyst,andrew,71.43
Attention to Detail,1,3,can't predict,Full Stack Developer,john,300.0
Version Control/Git,7,3,Below Average,Data Analyst,jefforson,42.86
Data Handling,4,5,can't predict,Data Analyst,andrew,125.0
SQL and Query Optimization,1,4,can't predict,Full Stack Developer,lara,400.0
Database Management,9,9,Excellent,Full Stack Developer,robin,100.0
Web Development Tools,7,5,Good,Data Analyst,lara,71.43
Database Management,5,2,Below Average,Cybersecurity Analyst,andrew,40.0
Data Handling,7,0,Needs Improvement,Data Analyst,jefforson,0.0
Knowledge of Security Tools,8,2,Very Poor,Data Analyst,john,25.0
Critical Thinking,10,9,Excellent,Database Administrator,jefforson,90.0
Domain Knowledge,4,10,can't predict,Data Analyst,lara,250.0
SQL and Query Optimization,2,8,can't predict,Artificial Intelligence (AI) Engineer,john,400.0
Attention to Detail,5,0,Needs Improvement,Data Analyst,jefforson,0.0
Critical Thinking,10,6,Above Average,Full Stack Developer,john,60.0
Statistical Knowledge,4,0,Needs Improvement,Full Stack Developer,andrew,0.0
Back-end Technologies,7,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Performance Tuning,6,0,Needs Improvement,Data Analyst,andrew,0.0
Back-end Technologies,4,1,Very Poor,Data Analyst,john,25.0
Critical Thinking,1,3,can't predict,Database Administrator,lara,300.0
Database Management,3,1,Poor,Cybersecurity Analyst,robin,33.33
Security Tools,9,1,Extremely Poor,Data Analyst,john,11.11
Database Knowledge,4,4,Excellent,Data Analyst,lara,100.0
Algorithm Development,6,10,can't predict,Artificial Intelligence (AI) Engineer,lara,166.67
Cyber Threat Intelligence,10,0,Needs Improvement,Artificial Intelligence (AI) Engineer,lara,0.0
Data Modeling and Design,5,6,can't predict,Cybersecurity Analyst,jefforson,120.0
Natural Language Processing ,3,5,can't predict,Database Administrator,lara,166.67
Data Visualization,3,10,can't predict,Data Analyst,lara,333.33
Front-end Technologies,5,6,can't predict,Database Administrator,lara,120.0
Understanding of Security Tools,9,4,Below Average,Data Analyst,john,44.44
Deep Learning,5,4,Very Good,Database Administrator,lara,80.0
Security Policies and Compliance,5,1,Very Poor,Database Administrator,robin,20.0
Mathematics and Statistics.,9,3,Poor,Artificial Intelligence (AI) Engineer,andrew,33.33
Risk Assessment and Management,7,7,Excellent,Data Analyst,robin,100.0
Data Visualization,5,4,Very Good,Full Stack Developer,jefforson,80.0
Programming skills,8,2,Very Poor,Full Stack Developer,jefforson,25.0
Programming skills,7,9,can't predict,Data Analyst,jefforson,128.57
Data Visualization,8,7,Very Good,Data Analyst,andrew,87.5
Risk Assessment and Management,5,4,Very Good,Data Analyst,lara,80.0
Database Security,1,7,can't predict,Artificial Intelligence (AI) Engineer,andrew,700.0
Statistical Knowledge,7,8,can't predict,Database Administrator,lara,114.29
Knowledge of Security Tools,7,2,Very Poor,Full Stack Developer,john,28.57
Programming skills,8,6,Good,Database Administrator,jefforson,75.0
Backup and Recovery,1,7,can't predict,Data Analyst,jefforson,700.0
Web Development Tools,7,4,Average,Data Analyst,jefforson,57.14
Domain Knowledge,6,5,Very Good,Data Analyst,andrew,83.33
"APIs (RESTful, GraphQL)",3,8,can't predict,Full Stack Developer,andrew,266.67
Risk Assessment and Management,2,4,can't predict,Database Administrator,andrew,200.0
Domain Knowledge,8,3,Poor,Artificial Intelligence (AI) Engineer,john,37.5
"APIs (RESTful, GraphQL)",5,9,can't predict,Artificial Intelligence (AI) Engineer,jefforson,180.0
Database Knowledge,3,5,can't predict,Artificial Intelligence (AI) Engineer,robin,166.67
Database Management,10,9,Excellent,Database Administrator,andrew,90.0
Data Modeling and Design,10,8,Very Good,Data Analyst,robin,80.0
Algorithm Development,8,8,Excellent,Cybersecurity Analyst,john,100.0
Version Control/Git,9,1,Extremely Poor,Data Analyst,jefforson,11.11
Understanding of Security Tools,7,0,Needs Improvement,Database Administrator,jefforson,0.0
Data Visualization,3,10,can't predict,Data Analyst,robin,333.33
Algorithm Development,8,3,Poor,Full Stack Developer,lara,37.5
Version Control/Git,4,9,can't predict,Data Analyst,jefforson,225.0
Analytical Skills,9,3,Poor,Full Stack Developer,jefforson,33.33
Backup and Recovery,3,5,can't predict,Data Analyst,jefforson,166.67
Networking Skills,5,2,Below Average,Full Stack Developer,jefforson,40.0
Backup and Recovery,8,7,Very Good,Full Stack Developer,andrew,87.5
Web Development Tools,2,9,can't predict,Full Stack Developer,jefforson,450.0
Web Development Tools,7,7,Excellent,Artificial Intelligence (AI) Engineer,john,100.0
Data Visualization,10,0,Needs Improvement,Cybersecurity Analyst,jefforson,0.0
Database Knowledge,2,4,can't predict,Data Analyst,robin,200.0
